,Unnamed: 0,zip,latitude,longitude,Cost of Single Family Home,Rent,Normalized Ratio,School Rating,Total Crimes,job_growth_per,job_growth_per_nom,Normalized Ratio_nom,Total Crimes_nom,School Rating_nom,summary_metric
84,84,29429,33.03,-79.61,392400,760,0.468705403,0,-1624,1.5,1.13,0.38,-0.90,0.00,0.60
85,85,29431,33.3,-79.95,154400,734,1.150440415,6.5,-13,1.5,1.13,0.93,-0.01,1.52,3.57
86,86,29432,33.25,-80.81,78900,504,1.545855513,4.5,0,-0.7,-0.53,1.25,0.00,1.05,1.78
87,87,29435,32.93,-80.47,115700,829,1.73394987,4,-26,1.5,1.13,1.40,-0.01,0.94,3.45
88,88,29448,33.21,-80.44,153500,717,1.130384365,0,-13,1.5,1.13,0.91,-0.01,0.00,2.03
89,89,29450,33.09,-79.8,217900,1001,1.111711794,0,-5155,1.5,1.13,0.90,-2.87,0.00,-0.84
90,90,29453,33.28,-79.69,208300,732,0.850427268,0,-4,1.5,1.13,0.69,0.00,0.00,1.81
91,91,29456,33,-80.1,169400,1085,1.55,5.5,-10948,1.5,1.13,1.25,-6.09,1.29,-2.43
92,92,29461,33.19,-79.99,202400,867,1.036630435,4.4,-1402,1.5,1.13,0.84,-0.78,1.03,2.21
93,93,29464,32.82,-79.86,490500,1401,0.691217125,7.4,-6779,1.5,1.13,0.56,-3.77,1.73,-0.36
94,94,29466,32.88,-79.79,455400,1647,0.875217391,6.9,-1624,1.5,1.13,0.71,-0.90,1.62,2.55
95,95,29472,33.08,-80.3,184700,817,1.070460206,6,-11,1.5,1.13,0.87,-0.01,1.40,3.39
96,96,29477,33.18,-80.58,157300,590,0.907692308,5,-143,1.5,1.13,0.73,-0.08,1.17,2.95
97,97,29479,33.4,-79.92,150000,649,1.047053333,3.3,-99,1.5,1.13,0.85,-0.06,0.77,2.69
98,98,29488,32.9,-80.67,100700,742,1.783157895,3,-732,1.6,1.20,1.44,-0.41,0.70,2.94
99,99,29492,32.9,-79.91,480500,1474,0.742368366,5,-5155,1.5,1.13,0.60,-2.87,1.17,0.03
100,100,29501,34.18,-79.78,140800,754,1.2959375,5.3,-3309,0.7,0.53,1.05,-1.84,1.24,0.97
