zip,latitude,longitude,Cost of Single Family Home,Rent,Normalized Ratio,School Rating,Total Crimes,job_growth_per
29615,34.86,-82.3,249400,867,0.84,6.6,4469,2.5
29617,34.91,-82.47,133800,716,1.3,4.9,237,2.5
29621,34.51,-82.64,160600,813,1.23,5.3,1932,2.5
29624,34.44,-82.62,65800,622,2.29,4.2,1932,2.5
29625,34.56,-82.76,133800,760,1.37,6.0,1932,2.5
29627,34.52,-82.49,93800,622,1.6,5.6,2130,2.5
29628,34.09,-82.59,208300,616,0.72,6.0,92,2.5
29630,34.72,-82.78,143300,715,1.21,5.9,530,2.5
29631,34.68,-82.81,224700,897,0.97,6.3,364,2.5
29639,34.33,-82.38,208300,755,0.88,7.0,18,2.5
29640,34.88,-82.58,133700,725,1.31,5.9,1042,2.5
29642,34.82,-82.58,182600,818,1.08,6.2,1042,2.5
29644,34.69,-82.2,154800,827,1.29,6.2,222,2.5
29646,34.19,-82.15,74000,661,2.16,4.0,1854,2.5
29649,34.24,-82.15,116900,714,1.48,3.6,1854,2.5
29650,34.9,-82.26,218300,947,1.05,6.9,881,2.5
29651,34.93,-82.23,170800,739,1.05,8.1,1033,2.5
29654,34.44,-82.39,90200,587,1.57,5.3,274,2.5
29655,34.3,-82.66,75200,731,2.35,5.0,13,2.5
29657,34.79,-82.69,126900,738,1.41,5.0,132,2.5
29662,34.78,-82.3,172700,896,1.26,6.4,637,2.5
29666,34.17,-82.02,208300,655,0.76,5.2,41,2.5
29669,34.64,-82.46,120600,652,1.31,5.5,176,2.5
29670,34.65,-82.78,132500,601,1.1,6.8,364,2.5
29671,34.88,-82.7,143600,682,1.15,5.3,191,2.5
29672,34.75,-82.93,239400,838,0.85,5.3,611,2.5
29676,34.89,-82.97,239900,757,0.76,5.5,0,2.5
29678,34.68,-82.95,136700,727,1.29,5.0,611,2.5
29680,34.69,-82.29,193200,984,1.23,6.1,1854,2.5
29681,34.73,-82.25,232200,1026,1.07,6.8,1854,2.5
29687,34.91,-82.31,170800,780,1.11,7.0,881,2.5
29690,34.96,-82.43,179000,734,0.99,8.5,237,2.5
29691,34.77,-83.06,130200,665,1.24,5.2,163,2.5
29692,34.39,-82.24,208300,718,0.83,4.3,121,2.5
29693,34.66,-83.09,137800,636,1.12,5.0,121,2.5
29696,34.76,-83.04,154900,870,1.36,5.3,163,2.5
29697,34.61,-82.47,119300,699,1.42,6.4,165,2.5
29702,35.12,-81.51,93400,668,1.73,4.0,202,2.0
29706,34.7,-81.21,208300,581,0.67,2.2,395,-0.7
29708,35.05,-80.99,320200,1191,0.9,8.1,365,2.0
29710,35.11,-81.22,204600,956,1.13,7.2,377,2.0
29714,34.7,-80.89,208300,691,0.8,6.0,86,-0.7
29715,35.0,-80.94,225400,953,1.02,8.8,317,2.0
29720,34.72,-80.77,121700,667,1.33,3.0,1064,-0.7
29745,34.99,-81.23,170700,809,1.15,4.4,433,2.0
29801,33.54,-81.72,94700,768,1.96,4.1,1443,-0.7
29803,33.49,-81.76,156900,908,1.4,5.5,1526,-0.7
29809,33.41,-81.68,71100,682,2.32,4.8,83,-0.7
29810,33.0,-81.3,208300,568,0.66,1.3,244,1.6
29812,33.24,-81.36,208300,671,0.78,3.3,382,-0.7
29817,33.36,-81.28,208300,556,0.65,2.2,68,-0.7
29824,33.78,-81.93,208300,593,0.69,8.0,74,-0.7
29827,32.95,-81.23,208300,626,0.73,0.0,63,1.6
29829,33.56,-81.81,116400,634,1.32,4.0,26,-0.7
29831,33.32,-81.79,86400,627,1.76,4.0,62,-0.7
29835,33.91,-82.29,208300,482,0.56,2.0,95,2.5
29841,33.51,-81.95,113400,746,1.59,4.7,1029,-0.7
29847,33.74,-81.84,208300,859,1.0,3.5,74,-0.7
29851,33.51,-81.82,77500,685,2.14,4.1,1469,-0.7
29853,33.4,-81.42,208300,572,0.66,3.3,164,-0.7
29909,32.3,-80.92,283800,1269,1.08,6.5,669,1.6
29911,32.92,-81.18,208300,646,0.75,0.0,0,1.6
29918,32.75,-81.24,208300,589,0.68,1.7,167,1.6
29924,32.86,-81.1,208300,624,0.72,4.2,196,1.6
29927,32.27,-81.07,147400,921,1.51,8.0,686,1.6
29935,32.38,-80.69,171800,980,1.38,4.6,1268,1.6
29940,32.56,-80.73,230300,872,0.92,2.5,998,1.6
29944,32.85,-81.08,208300,612,0.71,4.0,196,1.6
